epoch,train_loss,val_loss,lr,time_s,del
1,3.018050e+01,2.902792e+01,2.000080e-05,133.8,inf
2,3.392476e-01,1.046236e-01,4.000060e-05,128.0,2.892330e+01
3,1.165050e-01,2.229604e-01,6.000040e-05,127.9,-1.183367e-01
4,6.688229e-02,3.354025e-02,8.000020e-05,125.7,7.108339e-02
5,3.809544e-02,3.228250e-02,1.000000e-04,128.1,1.257745e-03
6,2.302790e-02,8.235922e-03,9.999717e-05,127.9,2.404658e-02
7,9.640606e-03,4.833686e-03,9.998866e-05,127.9,3.402236e-03
8,4.815035e-03,3.581446e-03,9.997449e-05,127.9,1.252240e-03
9,3.109109e-03,2.358467e-03,9.995465e-05,127.9,1.222979e-03
10,2.047757e-03,8.020349e-04,9.992914e-05,128.0,1.556432e-03
11,3.083753e-03,5.295925e-04,9.989797e-05,127.9,2.724424e-04
12,1.376862e-03,7.059656e-04,9.986115e-05,128.2,-1.763731e-04
13,2.840706e-03,9.516804e-04,9.981867e-05,125.2,-4.220879e-04
14,2.129205e-03,3.163800e-04,9.977054e-05,125.2,2.132124e-04
15,2.271107e-03,3.136791e-04,9.971677e-05,128.3,2.700979e-06
16,3.420116e-04,3.611046e-04,9.965736e-05,128.3,-4.742558e-05
17,3.339409e-03,2.380933e-04,9.959232e-05,124.8,7.558575e-05
18,1.333403e-03,2.689494e-04,9.952165e-05,128.0,-3.085606e-05
19,2.328358e-03,2.012801e-04,9.944537e-05,124.9,3.681325e-05
20,1.221791e-03,2.289704e-04,9.936348e-05,127.9,-2.769035e-05
21,1.136291e-03,1.509630e-04,9.927600e-05,125.1,5.031702e-05
22,2.068923e-04,2.727398e-04,9.918292e-05,128.0,-1.217768e-04
23,4.699979e-04,7.735186e-04,9.908427e-05,125.4,-6.225556e-04
24,2.481260e-03,1.647734e-04,9.898005e-05,125.4,-1.381039e-05
25,2.183861e-04,8.683366e-02,9.887028e-05,125.1,-8.668270e-02
